open_time,BTC,ETH,BNB,XRP,ADA,SOL,DOGE,AVAX,DOT,MATIC,LINK,UNI,LTC,ATOM,ETC,XLM,TRX,NEAR,APT,ALGO,VET,ICP,FIL,AAVE,SHIB
2020-02-11 16:00:00,10348.98,265.53,26.4496,0.30472,0.06824,,0.0030624,,,,,,81.26,5.131,12.2573,0.08033,,,,,0.007449,,,,
2020-02-12 16:00:00,10217.13,268.96,25.4795,0.32667,0.06872,,0.0029938,,,,,,80.26,4.903,12.0608,0.08319,,,,,0.008058,,,,
2020-02-13 16:00:00,10344.17,285.68,26.2998,0.33615,0.0708,,0.0031089,,,,,,83.1,5.106,11.9905,0.08637,,,,,0.008275,,,,
2020-02-14 16:00:00,9898.96,265.05,24.1797,0.30759,0.06373,,0.0029633,,,,,,76.58,4.6,10.3843,0.07828,,,,,0.007448,,,,
2020-02-15 16:00:00,9928.33,259.15,23.3555,0.29297,0.06187,,0.0026935,,,,,,74.78,4.392,9.6237,0.07464,,,,,0.007121,,,,
2020-02-16 16:00:00,9708.77,267.94,23.4736,0.28723,0.06012,,0.002685,,,,,,73.19,4.262,9.6044,0.07277,,,,,0.00675,,,,
2020-02-17 16:00:00,10158.14,282.08,24.0926,0.29783,0.06275,,0.002836,,,,,,77.12,4.436,9.8407,0.07579,,,,,0.007075,,,,
2020-02-18 16:00:00,9601.99,258.8,22.3708,0.27482,0.05748,,0.0026158,,,,,,70.75,4.143,8.8457,0.06992,,,,,0.00647,,,,
2020-02-19 16:00:00,9608.23,257.81,22.2896,0.27146,0.05801,,0.0026419,,,,,,69.52,4.426,8.9056,0.07044,,,,,0.006483,,,,
2020-02-20 16:00:00,9670.0,266.54,22.1238,0.27371,0.05882,,0.0026469,,,,,,73.67,4.956,9.4732,0.07127,,,,,0.006689,,,,
2020-02-21 16:00:00,9664.01,261.81,21.9733,0.27544,0.05803,,0.0025854,,,,,,74.82,4.995,9.4302,0.0701,,,,,0.00659,,,,
2020-02-22 16:00:00,9949.57,274.94,22.7969,0.28355,0.0616,,0.0026684,,,,,,79.6,4.814,9.7853,0.07317,,,,,0.006965,,,,
2020-02-23 16:00:00,9657.21,265.83,22.0515,0.2684,0.05896,,0.002569,,,,,,75.96,4.4,9.3726,0.06827,,,,,0.006712,,,,
2020-02-24 16:00:00,9319.74,246.36,20.2964,0.25215,0.05652,,0.0024772,,,,,,70.9,4.057,9.3125,0.06432,,,,,0.006312,,,,
2020-02-25 16:00:00,8790.39,223.91,18.7476,0.22955,0.04939,,0.0023376,,,,,,60.89,3.685,7.6648,0.0588,,,,,0.00559,,,,
2020-02-26 16:00:00,8802.94,227.26,19.1524,0.23689,0.04989,,0.0023364,,,,,,61.7,3.705,7.6886,0.05996,,,,,0.005776,,,,
2020-02-27 16:00:00,8694.33,226.66,18.9839,0.2367,0.04897,,0.0023237,,,,,,60.02,3.588,7.4592,0.0589,,,,,0.005752,,,,
2020-02-28 16:00:00,8528.54,216.95,19.2533,0.22929,0.04716,,0.0022173,,,,,,58.1,3.468,7.3824,0.05683,,,,,0.005597,,,,
2020-02-29 16:00:00,8545.65,218.0,18.9263,0.228,0.0457,,0.0022684,,,,,,57.75,3.37,7.6889,0.05617,,,,,0.005455,,,,
2020-03-01 16:00:00,8900.76,231.49,19.8901,0.23929,0.04914,,0.0023425,,,,,,61.35,3.698,8.4322,0.05941,,,,,0.005822,,,,
2020-03-02 16:00:00,8758.86,223.78,19.6617,0.23404,0.04891,,0.0025065,,,,,,60.98,3.595,8.4595,0.05817,,,,,0.005776,,,,
2020-03-03 16:00:00,8748.23,224.21,19.9795,0.23445,0.04896,,0.0024364,,,,,,60.06,3.75,7.9328,0.05849,,,,,0.006051,,,,
2020-03-04 16:00:00,9062.79,228.6,20.7954,0.23886,0.05067,,0.0025023,,,,,,62.05,3.747,8.1397,0.05952,,,,,0.006114,,,,
2020-03-05 16:00:00,9140.03,245.3,21.3444,0.24492,0.0517,,0.0024701,,,,,,63.24,3.856,8.1912,0.06132,,,,,0.006156,,,,
2020-03-06 16:00:00,8886.71,236.79,20.0784,0.2361,0.04887,,0.0024233,,,,,,60.37,3.685,7.8118,0.05849,,,,,0.005768,,,,
2020-03-07 16:00:00,8036.46,199.0,16.8647,0.20322,0.0427,,0.0022187,,,,,,50.98,3.086,6.4152,0.04988,,,,,0.004693,,,,
2020-03-08 17:00:00,7939.79,202.94,16.5932,0.20962,0.0409,,0.0021919,,,,,,50.44,2.998,6.9008,0.05231,,,,,0.004687,,,,
2020-03-09 17:00:00,7888.99,200.44,16.8402,0.21155,0.04149,,0.0022086,,,,,,50.1,3.056,6.8226,0.0519,,,,,0.004691,,,,
2020-03-10 17:00:00,7926.4,194.49,16.494,0.20853,0.03952,,0.0021846,,,,,,48.38,2.988,6.5965,0.05039,,,,,0.004464,,,,
2020-03-11 17:00:00,4824.58,108.65,9.2418,0.13576,0.02286,,0.0014755,,,,,,29.88,1.59,3.7482,0.03211,,,,,0.002291,,,,
2020-03-12 17:00:00,5582.5,133.27,10.6938,0.15846,0.02858,,0.0017596,,,,,,37.5,1.83,4.7899,0.03949,,,,,0.002854,,,,
2020-03-13 17:00:00,5169.45,122.3,10.176,0.14625,0.0259,,0.0016592,,,,,,34.38,1.786,4.6262,0.03709,,,,,0.002537,,,,
2020-03-14 17:00:00,5365.04,123.7,10.4865,0.15382,0.02724,,0.0016403,,,,,,36.54,1.948,5.044,0.03804,,,,,0.00253,,,,
2020-03-15 17:00:00,5023.0,110.4,9.3694,0.14029,0.02411,,0.0015791,,,,,,33.2,1.619,4.4374,0.03486,,,,,0.002264,,,,
2020-03-16 17:00:00,5320.37,116.17,10.2773,0.14821,0.02604,,0.0016518,,,,,,34.79,1.798,4.6606,0.03779,,,,,0.002507,,,,
2020-03-17 17:00:00,5390.21,117.95,10.3432,0.14732,0.02594,,0.0015836,,,,,,34.6,1.776,4.6023,0.03675,,,,,0.002533,,,,
2020-03-18 17:00:00,6179.03,136.75,12.2492,0.1654,0.0303,,0.0017573,,,,,,38.89,2.069,5.05,0.0415,,,,,0.002915,,,,
2020-03-19 17:00:00,6205.0,132.8,11.8746,0.15636,0.02929,,0.0017781,,,,,,37.57,2.166,4.8394,0.03953,,,,,0.002837,,,,
2020-03-20 17:00:00,6165.0,132.4,12.0818,0.15844,0.02933,,0.0017838,,,,,,38.18,2.17,5.0665,0.03961,,,,,0.002891,,,,
2020-03-21 17:00:00,5818.52,122.34,11.1405,0.14788,0.02709,,0.0017205,,,,,,35.43,1.926,4.6011,0.03682,,,,,0.002596,,,,
2020-03-22 17:00:00,6481.71,135.97,12.1644,0.15783,0.0291,,0.0017961,,,,,,38.89,2.113,4.9142,0.03938,,,,,0.00286,,,,
2020-03-23 17:00:00,6749.94,138.67,12.4029,0.1629,0.03023,,0.0018732,,,,,,40.75,2.138,5.1035,0.04025,,,,,0.002996,,,,
2020-03-24 17:00:00,6695.91,136.27,12.3194,0.16127,0.0293,,0.0018185,,,,,,39.09,2.061,5.0192,0.04047,,,,,0.003027,,,,
2020-03-25 17:00:00,6734.11,138.36,13.1537,0.17648,0.03079,,0.0018722,,,,,,39.78,2.143,5.0947,0.04285,,,,,0.003079,,,,
2020-03-26 17:00:00,6365.87,131.21,12.324,0.17303,0.02881,,0.0017713,,,,,,38.04,1.996,4.9415,0.0407,,,,,0.002998,,,,
2020-03-27 17:00:00,6243.16,131.03,12.181,0.17562,0.02984,,0.00179,,,,,,38.66,1.975,4.8141,0.04003,,,,,0.002962,,,,
2020-03-28 17:00:00,5876.82,124.5,11.3219,0.16397,0.02829,,0.0017046,,,,,,37.33,1.869,4.8534,0.03799,,,,,0.002732,,,,
2020-03-29 17:00:00,6386.47,132.05,12.126,0.17146,0.02969,,0.0018152,,,,,,38.95,1.965,4.9433,0.04006,,,,,0.00294,,,,
2020-03-30 17:00:00,6434.43,132.85,12.5681,0.17376,0.03051,,0.0018062,,,,,,39.32,1.964,4.9505,0.04064,,,,,0.003114,,,,
2020-03-31 17:00:00,6641.0,135.67,12.7222,0.17523,0.03082,,0.0018492,,,,,,39.25,1.972,5.0273,0.04087,,,,,0.00315,,,,
2020-04-01 17:00:00,6826.94,140.59,13.0223,0.17892,0.03203,,0.0018637,,,,,,39.76,1.982,5.0975,0.04126,,,,,0.003237,,,,
2020-04-02 17:00:00,6721.11,141.3,13.3405,0.1791,0.03238,,0.0018457,,,,,,40.52,1.976,5.1301,0.04128,,,,,0.003263,,,,
2020-04-03 17:00:00,6862.65,144.29,13.7591,0.1811,0.03232,,0.0018782,,,,,,40.64,1.994,5.1404,0.04151,,,,,0.003237,,,,
2020-04-04 17:00:00,6771.41,143.02,13.7085,0.17915,0.03191,,0.0018493,,,,,,40.26,2.06,5.0313,0.04319,,,,,0.003224,,,,
2020-04-05 17:00:00,7332.68,170.24,15.2107,0.19774,0.03594,,0.001981,,,,,,45.05,2.407,5.6178,0.04937,,,,,0.003628,,,,
2020-04-06 17:00:00,7197.12,164.68,14.7269,0.19295,0.03517,,0.0019825,,,,,,44.6,2.366,5.441,0.04847,,,,,0.003864,,,,
2020-04-07 17:00:00,7363.77,172.86,15.0921,0.20188,0.03639,,0.0019889,,,,,,46.72,2.415,5.8476,0.05145,,,,,0.003983,,,,
2020-04-08 17:00:00,7283.68,170.21,15.0141,0.19894,0.03604,,0.0020012,,,,,,46.51,2.593,5.9598,0.05211,,,,,0.003872,,,,
2020-04-09 17:00:00,6857.58,157.4,13.6925,0.18778,0.03302,,0.0019692,,,,,,42.15,2.303,5.2416,0.04751,,,,,0.003612,,,,
2020-04-10 17:00:00,6881.93,158.41,13.8152,0.18759,0.03342,,0.0019607,,,,,,42.49,2.24,5.1911,0.04859,,,,,0.00365,,,,
2020-04-11 17:00:00,6894.29,158.72,14.2663,0.1896,0.03336,,0.0019722,,,,,,42.25,2.3,5.3141,0.04896,,,,,0.003689,,,,
2020-04-12 17:00:00,6836.5,156.47,15.0244,0.18762,0.03338,,0.0019214,,,,,,41.17,2.261,5.177,0.04812,,,,,0.00362,,,,
2020-04-13 17:00:00,6857.32,157.5,15.6073,0.18627,0.03303,,0.0019718,,,,,,41.2,2.357,5.2724,0.04779,,,,,0.003685,,,,
2020-04-14 17:00:00,6631.75,153.14,14.5773,0.18073,0.03189,,0.0019081,,,,,,39.31,2.271,5.1038,0.04639,,,,,0.003672,,,,
2020-04-15 17:00:00,7100.0,171.5,15.7023,0.18963,0.03441,,0.0019949,,,,,,42.46,2.412,5.4807,0.04963,,,,,0.003886,,,,
2020-04-16 17:00:00,7036.17,171.06,15.6337,0.18838,0.03452,,0.0019972,,,,,,42.54,2.377,5.3874,0.04885,,,,,0.003797,,,,
2020-04-17 17:00:00,7248.61,187.51,16.5546,0.19498,0.03679,,0.0020356,,,,,,44.15,2.486,5.653,0.05058,,,,,0.003977,,,,
2020-04-18 17:00:00,7121.6,179.73,16.1062,0.18937,0.03573,,0.0020205,,,,,,42.31,2.427,5.4933,0.04898,,,,,0.003898,,,,
2020-04-19 17:00:00,6828.56,170.5,14.9821,0.18135,0.03403,,0.0019803,,,,,,40.21,2.293,5.2486,0.0497,,,,,0.003653,,,,
2020-04-20 17:00:00,6845.56,170.51,15.1233,0.18314,0.03471,,0.0019752,,,,,,40.63,2.296,5.2141,0.05146,,,,,0.003686,,,,
2020-04-21 17:00:00,7124.66,182.84,15.7263,0.18791,0.03647,,0.0020058,,,,,,41.84,2.381,5.3875,0.05475,,,,,0.00389,,,,
2020-04-22 17:00:00,7480.05,184.89,16.0366,0.1923,0.04086,,0.0020406,,,,,,42.85,2.393,5.5806,0.06205,,,,,0.003943,,,,
2020-04-23 17:00:00,7497.34,187.45,15.8921,0.19301,0.04146,,0.0021014,,,,,,44.41,2.743,5.6155,0.0613,,,,,0.004101,,,,
2020-04-24 17:00:00,7541.17,194.23,16.2519,0.19374,0.04225,,0.0021329,,,,,,44.41,2.85,5.7527,0.06145,,,,,0.004211,,,,
2020-04-25 17:00:00,7694.13,197.09,16.3813,0.19654,0.0458,,0.0024125,,,,,,44.54,2.775,6.2007,0.06198,,,,,0.004488,,,,
